ID;UrunAdi;Kategori;IlgiAlani;Marka;Fiyat;YasGrubu;PopulerlikPuan
7712;Samsung Yazilim Tablet;Teknoloji;Yazilim;Samsung;30518.38;Genc;4
7713;Prada Sokak Stili Gözlük;Moda;Sokak Stili;Prada;580.52;Yetiskin;53
7714;Marshall Analog Enstrüman;Muzik;Analog;Marshall;15458.57;Cocuk;17
7715;Ithaki Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Ithaki;122.74;Cocuk;10
7716;Xiaomi Ev Ofis Akıllı Saat;Teknoloji;Ev Ofis;Xiaomi;35702.92;Cocuk;23
7717;Maybelline Makyaj Ruj;Kozmetik;Makyaj;Maybelline;856.85;Genc;87
7718;Salomon Ekipman Antrenman Ekipmanı;Spor;Ekipman;Salomon;4098.99;Genc;25
7719;Pebeo Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Pebeo;3894.04;Genc;95
7720;Canson Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Canson;2840.98;Cocuk;90
7721;Spalding Outdoor Eşofman Takımı;Spor;Outdoor;Spalding;7593.75;Genc;15
7722;Nintendo Yayincilik Paketi;Oyun;Yayincilik;Nintendo;1819.35;Yetiskin;33
7723;Sephora Parfum Ruj;Kozmetik;Parfum;Sephora;1931.52;Yasli;63
7724;Castrol Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Castrol;980.85;Yasli;80
7725;Pegasus Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Pegasus;209.17;Genc;13
7726;English Home Konfor Robot Süpürge;Ev-Yasam;Konfor;English Home;2999.58;Yasli;70
7727;Asus Yazilim Akıllı Telefon;Teknoloji;Yazilim;Asus;11816.10;Cocuk;59
7728;Yamaha Studyo Amfi;Muzik;Studyo;Yamaha;4609.05;Yetiskin;16
7729;Lacoste Klasik Parfüm;Moda;Klasik;Lacoste;4404.73;Genc;47
7730;Burberry Klasik Ceket;Moda;Klasik;Burberry;3630.55;Cocuk;91
7731;Yamaha Sahne DJ Ekipmanı;Muzik;Sahne;Yamaha;17461.91;Yasli;28
7732;Sparco Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Sparco;5740.87;Cocuk;80
7733;Adidas Sokak Stili Ceket;Moda;Sokak Stili;Adidas;4831.32;Yasli;46
7734;Sephora Makyaj Cilt Serumu;Kozmetik;Makyaj;Sephora;1635.74;Cocuk;3
7735;Everest Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Everest;179.08;Genc;68
7736;Under Armour Fitness Antrenman Ekipmanı;Spor;Fitness;Under Armour;3283.48;Yasli;59
7737;Logitech E-Spor Paketi;Oyun;E-Spor;Logitech;490.59;Yasli;98
7738;SteelSeries E-Spor Koleksiyonu;Oyun;E-Spor;SteelSeries;3314.88;Genc;45
7739;Lancome Parfum Nemlendirici;Kozmetik;Parfum;Lancome;1742.27;Genc;77
7740;Burberry Klasik Ceket;Moda;Klasik;Burberry;3934.02;Yetiskin;87
7741;Hot Wheels Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Hot Wheels;164.48;Yetiskin;46
7742;3M Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;3M;6029.56;Genc;47
7743;Castelli Fitness Eşofman Takımı;Spor;Fitness;Castelli;3086.12;Yasli;23
7744;Gucci Aksesuar Saat;Moda;Aksesuar;Gucci;879.25;Yetiskin;93
7745;Nivea Bakim Ruj;Kozmetik;Bakim;Nivea;322.31;Yetiskin;44
7746;Sparco Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Sparco;3032.37;Cocuk;69
7747;3M Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;3M;12115.75;Yasli;6
7748;Gucci Aksesuar Çanta;Moda;Aksesuar;Gucci;5565.99;Yetiskin;86
7749;Ikea Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Ikea;1680.74;Genc;32
7750;Sony Mobil Yasam Akıllı Telefon;Teknoloji;Mobil Yasam;Sony;33374.27;Genc;80
7751;Sparco Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Sparco;12451.87;Yetiskin;72
7752;Reebok Ekipman Eşofman Takımı;Spor;Ekipman;Reebok;1655.27;Cocuk;82
7753;Roland Sahne Enstrüman;Muzik;Sahne;Roland;10126.37;Genc;6
7754;Gigabyte Yayincilik Paketi;Oyun;Yayincilik;Gigabyte;3561.12;Cocuk;14
7755;Dogan Kitap Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Dogan Kitap;388.33;Genc;50
7756;Burberry Sokak Stili Ceket;Moda;Sokak Stili;Burberry;4542.31;Cocuk;19
7757;MSI E-Spor Paketi;Oyun;E-Spor;MSI;2398.67;Yasli;7
7758;Estee Lauder Bakim Göz Kalemi;Kozmetik;Bakim;Estee Lauder;1329.99;Genc;53
7759;Gibson Analog Pikap;Muzik;Analog;Gibson;14019.60;Cocuk;23
7760;Yamaha Studyo Enstrüman;Muzik;Studyo;Yamaha;1051.41;Cocuk;27
7761;Nvidia Yayincilik Koleksiyonu;Oyun;Yayincilik;Nvidia;1035.06;Yetiskin;75
7762;Nivea Parfum Nemlendirici;Kozmetik;Parfum;Nivea;310.34;Yetiskin;6
7763;MGA Entertainment Aksiyon Paketi;Oyuncak;Aksiyon;MGA Entertainment;4394.67;Yasli;21
7764;Levi's Sokak Stili Parfüm;Moda;Sokak Stili;Levi's;447.80;Genc;82
7765;Pioneer Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Pioneer;14920.52;Yasli;28
7766;Canson Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Canson;4175.96;Cocuk;5
7767;Meguiars Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Meguiars;14178.98;Genc;94
7768;Derwent El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Derwent;3010.18;Yasli;88
7769;Michelin Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Michelin;2283.28;Yetiskin;36
7770;Sony Mobil Yasam Kulaklık;Teknoloji;Mobil Yasam;Sony;27222.27;Genc;69
7771;Mizuno Ekipman Antrenman Ekipmanı;Spor;Ekipman;Mizuno;4171.67;Genc;93
7772;Is Bankasi Yayinlari Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Is Bankasi Yayinlari;142.25;Yetiskin;3
7773;Burberry Aksesuar Saat;Moda;Aksesuar;Burberry;4188.03;Cocuk;30
7774;Corsair Yayincilik Seti;Oyun;Yayincilik;Corsair;2282.11;Cocuk;23
7775;Iletisim Tarih Romanı/Kitabı;Kitap;Tarih;Iletisim;456.43;Yetiskin;13
7776;Castelli Fitness Antrenman Ekipmanı;Spor;Fitness;Castelli;7452.66;Cocuk;52
7777;SteelSeries E-Spor Koleksiyonu;Oyun;E-Spor;SteelSeries;252.17;Yetiskin;95
7778;VTech Aksiyon Seti;Oyuncak;Aksiyon;VTech;3944.74;Yasli;46
7779;Dior Parfum Nemlendirici;Kozmetik;Parfum;Dior;1813.22;Genc;29
7780;Levi's Klasik Gözlük;Moda;Klasik;Levi's;4738.43;Cocuk;43
7781;Ithaki Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Ithaki;463.61;Yasli;27
7782;Karaca Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Karaca;5891.17;Yasli;43
7783;Prada Aksesuar Çanta;Moda;Aksesuar;Prada;4636.73;Cocuk;45
7784;Iletisim Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Iletisim;187.44;Cocuk;73
7785;Reebok Fitness Koşu Ayakkabısı;Spor;Fitness;Reebok;6249.01;Cocuk;94
7786;Wilson Outdoor Eşofman Takımı;Spor;Outdoor;Wilson;7100.86;Yasli;88
7787;Castelli Outdoor Spor Çantası;Spor;Outdoor;Castelli;1647.96;Yetiskin;39
7788;Everest Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Everest;385.21;Yasli;99
7789;Logitech Retro Seti;Oyun;Retro;Logitech;1846.05;Yasli;98
7790;Nike Sokak Stili Parfüm;Moda;Sokak Stili;Nike;3456.31;Yasli;31
7791;Apple Yazilim Bilgisayar;Teknoloji;Yazilim;Apple;31339.96;Genc;88
7792;Moleskine Resim Seti;Hobi-Sanat;Resim;Moleskine;3488.93;Cocuk;46
7793;Lenovo Ev Ofis Akıllı Saat;Teknoloji;Ev Ofis;Lenovo;31931.23;Yetiskin;61
7794;LG Yazilim Akıllı Telefon;Teknoloji;Yazilim;LG;4870.79;Yetiskin;30
7795;Huawei Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;Huawei;15969.22;Genc;19
7796;VTech Klasik Seti;Oyuncak;Klasik;VTech;3542.46;Cocuk;26
7797;MSI E-Spor Seti;Oyun;E-Spor;MSI;3101.80;Genc;66
7798;MSI E-Spor Paketi;Oyun;E-Spor;MSI;2186.31;Yetiskin;88
7799;Corsair E-Spor Koleksiyonu;Oyun;E-Spor;Corsair;4473.64;Cocuk;22
7800;Burberry Sokak Stili Ceket;Moda;Sokak Stili;Burberry;1821.96;Yasli;91
7801;Pegasus Tarih Romanı/Kitabı;Kitap;Tarih;Pegasus;98.19;Genc;58
7802;Razer E-Spor Seti;Oyun;E-Spor;Razer;752.95;Genc;50
7803;Audio-Technica Studyo DJ Ekipmanı;Muzik;Studyo;Audio-Technica;6132.04;Cocuk;66
7804;Goodyear Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Goodyear;11263.45;Cocuk;37
7805;Bose Sahne Enstrüman;Muzik;Sahne;Bose;16860.46;Genc;97
7806;Adidas Sokak Stili Parfüm;Moda;Sokak Stili;Adidas;1833.29;Yasli;13
7807;Pioneer Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Pioneer;2725.59;Yasli;65
7808;Gigabyte E-Spor Koleksiyonu;Oyun;E-Spor;Gigabyte;2660.87;Yetiskin;15
7809;Philips Dekorasyon Kahve Makinesi;Ev-Yasam;Dekorasyon;Philips;10179.13;Cocuk;85
7810;Hasbro Klasik Paketi;Oyuncak;Klasik;Hasbro;104.11;Yasli;54
7811;Winsor Newton Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Winsor Newton;2408.55;Yasli;81
7812;Salomon Ekipman Antrenman Ekipmanı;Spor;Ekipman;Salomon;3351.51;Cocuk;79
7813;Gibson Sahne Pikap;Muzik;Sahne;Gibson;5953.71;Genc;92
7814;Philips Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Philips;7018.15;Yasli;14
7815;Bridgestone Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Bridgestone;8852.60;Genc;34
7816;Marshall Studyo Pikap;Muzik;Studyo;Marshall;10801.15;Cocuk;19
7817;Philips Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Philips;7628.43;Genc;63
7818;Lancome Makyaj Cilt Serumu;Kozmetik;Makyaj;Lancome;1672.65;Cocuk;57
7819;H&M Aksesuar Çanta;Moda;Aksesuar;H&M;2590.58;Genc;84
7820;Tefal Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Tefal;1026.78;Genc;87
7821;Casio Studyo Pikap;Muzik;Studyo;Casio;24395.88;Yasli;69
7822;Casio Studyo DJ Ekipmanı;Muzik;Studyo;Casio;14619.93;Yetiskin;13
7823;Castrol Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Castrol;11304.77;Yetiskin;51
7824;Salomon Ekipman Spor Çantası;Spor;Ekipman;Salomon;5291.41;Yasli;21
7825;Madame Coco Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Madame Coco;8519.97;Yasli;61
7826;LEGO Aksiyon Seti;Oyuncak;Aksiyon;LEGO;1947.87;Yasli;67
7827;LEGO Aksiyon Seti;Oyuncak;Aksiyon;LEGO;4273.55;Yasli;29
7828;Dell Yazilim Bilgisayar;Teknoloji;Yazilim;Dell;3654.21;Yasli;82
7829;Sony Yazilim Tablet;Teknoloji;Yazilim;Sony;23834.48;Cocuk;96
7830;Yamaha Sahne Enstrüman;Muzik;Sahne;Yamaha;24597.90;Genc;35
7831;Levi's Aksesuar Saat;Moda;Aksesuar;Levi's;3249.58;Genc;11
7832;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;377.15;Yetiskin;30
7833;Winsor Newton El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Winsor Newton;3542.19;Yasli;49
7834;Under Armour Outdoor Antrenman Ekipmanı;Spor;Outdoor;Under Armour;766.61;Yasli;41
7835;Yapi Kredi Tarih Romanı/Kitabı;Kitap;Tarih;Yapi Kredi;492.59;Yetiskin;19
7836;Nvidia Yayincilik Koleksiyonu;Oyun;Yayincilik;Nvidia;4386.62;Cocuk;8
7837;Maybelline Bakim Cilt Serumu;Kozmetik;Bakim;Maybelline;1418.14;Yetiskin;25
7838;Philips Konfor Robot Süpürge;Ev-Yasam;Konfor;Philips;6824.37;Yasli;4
7839;Bridgestone Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Bridgestone;8956.73;Yasli;47
7840;Fender Sahne Amfi;Muzik;Sahne;Fender;13015.78;Yetiskin;42
7841;Estee Lauder Parfum Ruj;Kozmetik;Parfum;Estee Lauder;357.35;Yetiskin;97
7842;Razer Retro Seti;Oyun;Retro;Razer;4069.59;Yasli;48
7843;Dogan Kitap Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Dogan Kitap;267.84;Genc;17
7844;Gibson Sahne DJ Ekipmanı;Muzik;Sahne;Gibson;3736.92;Yetiskin;64
7845;Dior Parfum Nemlendirici;Kozmetik;Parfum;Dior;1370.24;Yasli;31
7846;Arzum Dekorasyon Kahve Makinesi;Ev-Yasam;Dekorasyon;Arzum;5396.08;Yetiskin;54
7847;Clinique Bakim Göz Kalemi;Kozmetik;Bakim;Clinique;603.12;Yasli;99
7848;Adidas Sokak Stili Saat;Moda;Sokak Stili;Adidas;3433.31;Genc;53
7849;JBL Studyo Amfi;Muzik;Studyo;JBL;17706.51;Cocuk;72
7850;Arzum Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Arzum;9468.82;Cocuk;22
7851;Reebok Ekipman Eşofman Takımı;Spor;Ekipman;Reebok;2263.71;Yasli;89
7852;Dell Ev Ofis Tablet;Teknoloji;Ev Ofis;Dell;43889.87;Yasli;31
7853;Ithaki Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Ithaki;133.41;Yetiskin;56
7854;Prismacolor Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Prismacolor;919.13;Yetiskin;79
7855;Alfa Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Alfa Yayinlari;337.52;Cocuk;73
7856;Reebok Ekipman Koşu Ayakkabısı;Spor;Ekipman;Reebok;3120.95;Cocuk;2
7857;Xiaomi Yazilim Tablet;Teknoloji;Yazilim;Xiaomi;32856.59;Cocuk;48
7858;Nivea Parfum Göz Kalemi;Kozmetik;Parfum;Nivea;185.04;Genc;62
7859;Adidas Aksesuar Gözlük;Moda;Aksesuar;Adidas;5687.48;Cocuk;85
7860;Canson Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Canson;254.56;Yetiskin;94
7861;Adidas Aksesuar Ceket;Moda;Aksesuar;Adidas;2560.94;Yetiskin;64
7862;Corsair Retro Koleksiyonu;Oyun;Retro;Corsair;4525.53;Cocuk;100
7863;Mattel Egitici Koleksiyonu;Oyuncak;Egitici;Mattel;3934.10;Yasli;93
7864;Pegasus Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Pegasus;207.78;Yetiskin;75
7865;Estee Lauder Makyaj Cilt Serumu;Kozmetik;Makyaj;Estee Lauder;1955.19;Yetiskin;91
7866;Liquitex El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Liquitex;2261.49;Yetiskin;22
7867;Estee Lauder Makyaj Göz Kalemi;Kozmetik;Makyaj;Estee Lauder;472.77;Genc;77
7868;Philips Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Philips;5797.22;Cocuk;100
7869;Derwent El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Derwent;3182.78;Genc;23
7870;LG Yazilim Kulaklık;Teknoloji;Yazilim;LG;8450.38;Cocuk;71
7871;Mizuno Ekipman Spor Çantası;Spor;Ekipman;Mizuno;1664.85;Yasli;44
7872;LG Yazilim Akıllı Telefon;Teknoloji;Yazilim;LG;12839.38;Yasli;81
7873;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;404.55;Genc;12
7874;Columbia Outdoor Antrenman Ekipmanı;Spor;Outdoor;Columbia;3388.84;Yasli;24
7875;Lenovo Ev Ofis Tablet;Teknoloji;Ev Ofis;Lenovo;6474.67;Yetiskin;90
7876;Audio-Technica Studyo Enstrüman;Muzik;Studyo;Audio-Technica;8110.19;Cocuk;23
7877;Casio Sahne Enstrüman;Muzik;Sahne;Casio;17881.07;Cocuk;73
7878;Can Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Can Yayinlari;268.98;Yetiskin;16
7879;Fender Analog Enstrüman;Muzik;Analog;Fender;6082.43;Yasli;65
7880;Logitech Yayincilik Paketi;Oyun;Yayincilik;Logitech;3714.35;Yasli;66
7881;Nintendo E-Spor Paketi;Oyun;E-Spor;Nintendo;4889.90;Genc;63
7882;Zara Klasik Parfüm;Moda;Klasik;Zara;5928.51;Genc;35
7883;LEGO Egitici Koleksiyonu;Oyuncak;Egitici;LEGO;2916.51;Cocuk;22
7884;Zowie Retro Koleksiyonu;Oyun;Retro;Zowie;3588.16;Yetiskin;9
7885;Corsair E-Spor Paketi;Oyun;E-Spor;Corsair;1510.57;Cocuk;58
7886;Nvidia E-Spor Seti;Oyun;E-Spor;Nvidia;2203.36;Yetiskin;75
7887;Burberry Sokak Stili Parfüm;Moda;Sokak Stili;Burberry;2272.86;Genc;31
7888;Gigabyte Yayincilik Koleksiyonu;Oyun;Yayincilik;Gigabyte;2162.35;Yasli;8
7889;Daler Rowney Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Daler Rowney;324.37;Genc;73
7890;LG Yazilim Bilgisayar;Teknoloji;Yazilim;LG;25074.19;Yasli;37
7891;SteelSeries Yayincilik Seti;Oyun;Yayincilik;SteelSeries;1585.21;Yasli;98
7892;Dell Yazilim Kulaklık;Teknoloji;Yazilim;Dell;16618.63;Yetiskin;19
7893;Nvidia Retro Koleksiyonu;Oyun;Retro;Nvidia;185.30;Yetiskin;78
7894;Daler Rowney Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Daler Rowney;573.69;Genc;54
7895;Dogan Kitap Tarih Romanı/Kitabı;Kitap;Tarih;Dogan Kitap;351.93;Yetiskin;48
7896;Apple Mobil Yasam Bilgisayar;Teknoloji;Mobil Yasam;Apple;40840.10;Cocuk;17
7897;Gigabyte Retro Koleksiyonu;Oyun;Retro;Gigabyte;429.51;Genc;3
7898;Nike Sokak Stili Parfüm;Moda;Sokak Stili;Nike;5367.64;Cocuk;26
7899;Razer Yayincilik Koleksiyonu;Oyun;Yayincilik;Razer;4452.01;Genc;85
7900;Winsor Newton Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Winsor Newton;4422.76;Yasli;67
7901;Logitech Yayincilik Seti;Oyun;Yayincilik;Logitech;1798.56;Cocuk;26
7902;MGA Entertainment Egitici Paketi;Oyuncak;Egitici;MGA Entertainment;526.68;Yetiskin;1
7903;Is Bankasi Yayinlari Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Is Bankasi Yayinlari;51.95;Yetiskin;59
7904;Dior Makyaj Nemlendirici;Kozmetik;Makyaj;Dior;927.32;Cocuk;55
7905;Yamaha Sahne Amfi;Muzik;Sahne;Yamaha;4279.34;Yetiskin;11
7906;Melissa Doug Klasik Paketi;Oyuncak;Klasik;Melissa Doug;3656.84;Yasli;24
7907;Iletisim Tarih Romanı/Kitabı;Kitap;Tarih;Iletisim;157.46;Cocuk;44
7908;Pegasus Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Pegasus;388.15;Genc;79
7909;Columbia Fitness Eşofman Takımı;Spor;Fitness;Columbia;7403.86;Cocuk;78
7910;Reeves Resim Paketi;Hobi-Sanat;Resim;Reeves;1023.97;Yasli;19
7911;Nintendo E-Spor Koleksiyonu;Oyun;E-Spor;Nintendo;2152.08;Genc;62
7912;Gucci Sokak Stili Parfüm;Moda;Sokak Stili;Gucci;3144.18;Yetiskin;15
7913;Sephora Bakim Göz Kalemi;Kozmetik;Bakim;Sephora;1753.54;Yasli;86
7914;Beko Mutfak Robot Süpürge;Ev-Yasam;Mutfak;Beko;897.44;Genc;54
7915;MAC Bakim Ruj;Kozmetik;Bakim;MAC;280.48;Yetiskin;87
7916;Asus Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;Asus;34379.18;Genc;23
7917;Hot Wheels Egitici Seti;Oyuncak;Egitici;Hot Wheels;615.31;Yetiskin;52
7918;MAC Makyaj Nemlendirici;Kozmetik;Makyaj;MAC;1057.80;Genc;99
7919;Is Bankasi Yayinlari Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Is Bankasi Yayinlari;409.65;Cocuk;15
7920;Castelli Fitness Koşu Ayakkabısı;Spor;Fitness;Castelli;5101.51;Cocuk;77
7921;Levi's Klasik Gözlük;Moda;Klasik;Levi's;2141.55;Yasli;83
7922;Reebok Outdoor Antrenman Ekipmanı;Spor;Outdoor;Reebok;1425.76;Yetiskin;54
7923;Nvidia E-Spor Koleksiyonu;Oyun;E-Spor;Nvidia;4387.45;Cocuk;52
7924;Xiaomi Yazilim Tablet;Teknoloji;Yazilim;Xiaomi;5665.25;Cocuk;11
7925;Prada Sokak Stili Parfüm;Moda;Sokak Stili;Prada;3729.75;Cocuk;65
7926;Continental Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Continental;10352.07;Genc;41
7927;Daler Rowney El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Daler Rowney;3126.63;Genc;29
7928;Xiaomi Ev Ofis Kulaklık;Teknoloji;Ev Ofis;Xiaomi;38050.82;Yetiskin;23
7929;HP Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;HP;40023.56;Cocuk;44
7930;Estee Lauder Parfum Cilt Serumu;Kozmetik;Parfum;Estee Lauder;1055.06;Yetiskin;92
7931;MAC Makyaj Nemlendirici;Kozmetik;Makyaj;MAC;427.83;Cocuk;1
7932;Continental Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Continental;13768.46;Genc;93
7933;Nike Sokak Stili Parfüm;Moda;Sokak Stili;Nike;3156.05;Yetiskin;25
7934;Roland Studyo DJ Ekipmanı;Muzik;Studyo;Roland;20729.60;Yasli;36
7935;Sennheiser Analog Enstrüman;Muzik;Analog;Sennheiser;24999.11;Yetiskin;25
7936;Columbia Outdoor Antrenman Ekipmanı;Spor;Outdoor;Columbia;5604.48;Genc;100
7937;Dogan Kitap Tarih Romanı/Kitabı;Kitap;Tarih;Dogan Kitap;290.80;Genc;37
7938;Bosch Mutfak Nevresim Takımı;Ev-Yasam;Mutfak;Bosch;9744.65;Genc;72
7939;Apple Yazilim Akıllı Telefon;Teknoloji;Yazilim;Apple;27921.83;Genc;1
7940;Nvidia Yayincilik Paketi;Oyun;Yayincilik;Nvidia;187.71;Cocuk;9
7941;Faber-Castell El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Faber-Castell;4959.16;Cocuk;8
7942;Nvidia Yayincilik Seti;Oyun;Yayincilik;Nvidia;4863.32;Genc;1
7943;Pegasus Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Pegasus;461.21;Yasli;85
7944;Michelin Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Michelin;9005.60;Yasli;3
7945;Pioneer Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Pioneer;2877.80;Genc;35
7946;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;8452.42;Yetiskin;66
7947;3M Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;3M;10569.31;Yetiskin;59
7948;Spalding Outdoor Antrenman Ekipmanı;Spor;Outdoor;Spalding;7389.36;Yetiskin;5
7949;Casio Sahne Amfi;Muzik;Sahne;Casio;3592.97;Yetiskin;19
7950;Levi's Aksesuar Saat;Moda;Aksesuar;Levi's;496.49;Yasli;56
7951;Sparco Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Sparco;3576.95;Yetiskin;97
7952;Pegasus Tarih Romanı/Kitabı;Kitap;Tarih;Pegasus;368.88;Yasli;76
7953;Goodyear Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Goodyear;11926.73;Cocuk;59
7954;Reeves Resim Seti;Hobi-Sanat;Resim;Reeves;861.46;Cocuk;98
7955;Karaca Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Karaca;11851.56;Yetiskin;46
7956;Burberry Klasik Gözlük;Moda;Klasik;Burberry;1518.14;Cocuk;36
7957;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;6048.89;Cocuk;54
7958;MGA Entertainment Egitici Seti;Oyuncak;Egitici;MGA Entertainment;2699.65;Cocuk;76
7959;Dior Bakim Göz Kalemi;Kozmetik;Bakim;Dior;186.03;Cocuk;97
7960;SteelSeries Yayincilik Seti;Oyun;Yayincilik;SteelSeries;1676.61;Cocuk;40
7961;Nvidia E-Spor Paketi;Oyun;E-Spor;Nvidia;1078.57;Yasli;11
7962;Corsair Yayincilik Seti;Oyun;Yayincilik;Corsair;3144.82;Yetiskin;86
7963;Logitech E-Spor Koleksiyonu;Oyun;E-Spor;Logitech;2609.51;Yasli;30
7964;Maybelline Parfum Nemlendirici;Kozmetik;Parfum;Maybelline;633.62;Cocuk;73
7965;Asus Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Asus;44921.81;Yasli;66
7966;Nike Aksesuar Saat;Moda;Aksesuar;Nike;5493.01;Cocuk;46
7967;Pebeo Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Pebeo;1609.01;Cocuk;68
7968;Bridgestone Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Bridgestone;572.78;Yasli;61
7969;Fender Analog Pikap;Muzik;Analog;Fender;3018.59;Yasli;34
7970;Lacoste Aksesuar Çanta;Moda;Aksesuar;Lacoste;664.16;Yetiskin;20
7971;Reebok Fitness Spor Çantası;Spor;Fitness;Reebok;718.73;Yetiskin;69
7972;Madame Coco Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Madame Coco;3816.42;Genc;66
7973;Bosch Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Bosch;10735.88;Genc;96
7974;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;198.76;Yasli;13
7975;Salomon Outdoor Spor Çantası;Spor;Outdoor;Salomon;1389.92;Yetiskin;83
7976;Everest Tarih Romanı/Kitabı;Kitap;Tarih;Everest;287.72;Yasli;88
7977;Spalding Fitness Antrenman Ekipmanı;Spor;Fitness;Spalding;3302.48;Genc;44
7978;Fisher-Price Egitici Koleksiyonu;Oyuncak;Egitici;Fisher-Price;4400.97;Genc;73
7979;Xiaomi Yazilim Kulaklık;Teknoloji;Yazilim;Xiaomi;3350.60;Yetiskin;96
7980;Casio Sahne Enstrüman;Muzik;Sahne;Casio;13612.34;Cocuk;68
7981;HyperX Yayincilik Paketi;Oyun;Yayincilik;HyperX;3519.28;Yetiskin;45
